pid,process_name,cpu,mem,label
1156,firefox,7.8,11.6,0
1390,Isolated,,,0
1368,Isolated,,,0
632,Hyprland,3.1,2.9,0
939,wireplumber,3.0,0.3,0
1665,nvim,1.6,1.1,0
1360,Utility,,,0
722,waybar,1.0,1.0,0
363,irq/135-DELL0AB,0.4,0.0,0
7346,kworker/u16:2-e,0.4,0.0,0
1616,kitty,0.4,2.1,0
1301,WebExtensions,0.3,3.0,0
961,pipewire-pulse,0.3,0.2,0
365,kworker/u16:5-e,0.2,0.0,0
4443,kworker/u17:0+i,0.2,0.0,0
6826,kworker/u17:1-h,0.2,0.0,0
5389,kworker/u16:1-e,0.2,0.0,0
5763,kworker/u17:3-h,0.2,0.0,0
4432,kworker/u16:0-e,0.2,0.0,0
7445,kworker/u17:2-r,0.1,0.0,0
7379,kworker/u16:3-e,0.1,0.0,0
414,irq/137-rtw88_p,0.1,0.0,0
5307,kworker/1:1-i91,0.1,0.0,0
1239,Privileged,,,0
265,systemd-journal,0.1,0.2,0
680,dbus-broker,0.0,0.0,0
966,blueman-tray,0.0,0.6,0
964,playerctld,0.0,0.0,0
7453,Web,,,0
7420,Web,,,0
7231,Isolated,,,0
19,rcu_preempt,0.0,0.0,0
7293,Web,,,0
58,irq/9-acpi,0.0,0.0,0
827,bash,0.0,0.0,0
1664,nvim,0.0,0.1,0
1027,swww-daemon,0.0,0.2,0
446,dbus-broker,0.0,0.0,0
85,kworker/3:1H-i9,0.0,0.0,0
1,systemd,0.0,0.1,0
134,kworker/2:1H-i9,0.0,0.0,0
1826,fish,0.0,0.1,0
845,upowerd,0.0,0.1,0
99,kworker/0:1H-i9,0.0,0.0,0
29,ksoftirqd/1,0.0,0.0,0
6557,kworker/3:1-eve,0.0,0.0,0
724,blueman-applet,0.0,0.7,0
447,NetworkManager,0.0,0.3,0
176,kworker/0:3-eve,0.0,0.0,0
728,nm-applet,0.0,0.5,0
499,Xorg,0.0,0.7,0
60,kworker/2:1-mm_,0.0,0.0,0
726,udiskie,0.0,0.8,0
494,wpa_supplicant,0.0,0.1,0
53,khugepaged,0.0,0.0,0
762,python,0.0,0.2,0
789,udisksd,0.0,0.1,0
74,hwrng,0.0,0.0,0
449,systemd-logind,0.0,0.1,0
222,jbd2/nvme0n1p7-,0.0,0.0,0
551,polkitd,0.0,0.1,0
67,kworker/1:1H-i9,0.0,0.0,0
1068,xdg-desktop-por,0.0,1.0,0
5237,kworker/0:0-i91,0.0,0.0,0
621,systemd,0.0,0.1,0
313,systemd-udevd,0.0,0.1,0
1623,kitten,0.0,0.2,0
3373,fish,0.0,0.1,0
18,ksoftirqd/0,0.0,0.0,0
938,pipewire,0.0,0.1,0
34,migration/2,0.0,0.0,0
40,migration/3,0.0,0.0,0
730,dunst,0.0,0.3,0
28,migration/1,0.0,0.0,0
35,ksoftirqd/2,0.0,0.0,0
2437,fish,0.0,0.1,0
1245,RDD,,,0
778,Xwayland,0.0,1.3,0
721,polkit-gnome-au,0.0,0.3,0
448,bluetoothd,0.0,0.0,0
51,kcompactd0,0.0,0.0,0
41,ksoftirqd/3,0.0,0.0,0
308,systemd-timesyn,0.0,0.0,0
1222,Socket,,,0
755,hypridle,0.0,0.0,0
1105,xdg-desktop-por,0.0,0.1,0
543,rtkit-daemon,0.0,0.0,0
445,dbus-broker-lau,0.0,0.0,0
281,systemd-userdbd,0.0,0.0,0
1625,fish,0.0,0.1,0
497,sddm,0.0,0.2,0
732,wl-paste,0.0,0.0,0
615,sddm-helper,0.0,0.3,0
23,migration/0,0.0,0.0,0
2,kthreadd,0.0,0.0,0
3,pool_workqueue_,0.0,0.0,0
4,kworker/R-rcu_g,0.0,0.0,0
5,kworker/R-sync_,0.0,0.0,0
6,kworker/R-kvfre,0.0,0.0,0
7,kworker/R-slub_,0.0,0.0,0
8,kworker/R-netns,0.0,0.0,0
10,kworker/0:0H-ev,0.0,0.0,0
13,kworker/R-mm_pe,0.0,0.0,0
15,rcu_tasks_kthre,0.0,0.0,0
16,rcu_tasks_rude_,0.0,0.0,0
17,rcu_tasks_trace,0.0,0.0,0
20,rcub/0,0.0,0.0,0
21,rcu_exp_par_gp_,0.0,0.0,0
22,rcu_exp_gp_kthr,0.0,0.0,0
24,idle_inject/0,0.0,0.0,0
25,cpuhp/0,0.0,0.0,0
26,cpuhp/1,0.0,0.0,0
27,idle_inject/1,0.0,0.0,0
31,kworker/1:0H-ev,0.0,0.0,0
32,cpuhp/2,0.0,0.0,0
33,idle_inject/2,0.0,0.0,0
37,kworker/2:0H-ev,0.0,0.0,0
38,cpuhp/3,0.0,0.0,0
39,idle_inject/3,0.0,0.0,0
43,kworker/3:0H-ev,0.0,0.0,0
44,kdevtmpfs,0.0,0.0,0
45,kworker/R-inet_,0.0,0.0,0
46,kauditd,0.0,0.0,0
47,khungtaskd,0.0,0.0,0
48,oom_reaper,0.0,0.0,0
50,kworker/R-write,0.0,0.0,0
52,ksmd,0.0,0.0,0
54,kworker/R-kinte,0.0,0.0,0
55,kworker/R-kbloc,0.0,0.0,0
56,kworker/R-blkcg,0.0,0.0,0
61,kworker/R-tpm_d,0.0,0.0,0
62,kworker/R-ata_s,0.0,0.0,0
63,kworker/R-edac-,0.0,0.0,0
64,kworker/R-devfr,0.0,0.0,0
65,watchdogd,0.0,0.0,0
69,kswapd0,0.0,0.0,0
